strategy,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_days,avg_turnover_per_rebal,ann_turnover
MinVar,0.09174379650663855,0.1536797844229986,0.5758185290520381,-0.42621586504135456,0.21525195102190037,5030,0.1251508283801746,1.5018099405620953
HRP_static,0.09577317492444792,0.16328003479964348,0.5737270835846333,-0.46086227856461437,0.20781300483680226,5030,0.12121470684761333,1.45457648217136
ERC,0.09562397267793887,0.17340731337845625,0.5493055934495243,-0.5018002916831397,0.19056181166654312,5030,0.05462729174845496,0.6555275009814595
MHRP_EV,0.09348387936929514,0.17530007043224693,0.5340985152862573,-0.5108869852318948,0.18298348181029161,5030,0.14827010222987463,1.7792412267584956
EW,0.09400274406300468,0.1911200118954877,0.5075712992594549,-0.5598609898048759,0.16790372212889265,5030,0.0533085678427977,0.6397028141135724
