strategy,ewma_cc,lw_linear,nls,sample
ERC,0.5578389152822445,0.5489559890257911,0.5493055934495243,0.5491737113091671
EW,0.5075712992594549,0.5075712992594549,0.5075712992594549,0.5075712992594549
HRP_static,0.6077406135282334,0.5914893544806085,0.5737270835846333,0.5942353909914555
MHRP_EV,0.5675703013181634,0.5539618242197606,0.5340985152862573,0.5567786937138676
MinVar,0.5883608885951355,0.5511815172843582,0.5758185290520381,0.5557555899257675
