strategy,lw_linear,nls,sample
ERC,0.5489559890257909,0.5493056714535675,0.5491737113091675
EW,0.5075712992594549,0.5075712992594549,0.5075712992594549
HRP_static,0.5914893544806087,0.5737271982387434,0.5942353909914554
MinVar,0.5511815172843575,0.5758185934912307,0.5557555899257639
