strategy,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_days,avg_turnover_per_rebal,ann_turnover
MinVar,0.09174380736754717,0.15367978452467096,0.5758185934912307,-0.4262158650320178,0.2152519765087939,5030,0.12515083458642373,1.5018100150370848
HRP_static,0.09577319902030235,0.16328004275527586,0.5737271982387434,-0.46086227857735496,0.20781305711534162,5030,0.12121465498086544,1.4545758597703853
ERC,0.09562398812997563,0.17340731490204367,0.5493056714535675,-0.5018002917032554,0.1905618424521041,5030,0.05462727436946804,0.6555272924336165
EW,0.09400274406300468,0.19112001189548766,0.5075712992594549,-0.5598609898048759,0.16790372212889265,5030,0.0533085678427977,0.6397028141135724
