environment,replication,RAC_HRP,HRP_static,HRP_periodic_3,EW,ERC
A_iid_gaussian,0,-0.190128106797274,-0.18535197220358915,-0.1140548409934386,-0.46006818476424766,-0.17780467643612233
A_iid_gaussian,1,-1.0794603216076235,-1.0845673341781734,-1.006012619793118,-1.0531160164799223,-1.1634450378924814
A_iid_gaussian,2,0.2635608774084709,0.2949912139170441,0.24289404737368342,0.2507879336863566,0.19947384702820056
A_iid_gaussian,3,-0.6574376929642558,-0.654449970627162,-0.63746940582719,-0.40806405739991747,-0.46197724591040107
A_iid_gaussian,4,-0.2843937406876328,-0.345892057035213,-0.3041188591812766,-0.32721925707641714,-0.3052731040694777
A_iid_gaussian,5,0.3358399469599767,0.29717613660011133,0.27297710229655525,0.2778177210692961,0.29054839740194854
A_iid_gaussian,6,-0.37278556958408965,-0.4530312004672376,-0.4503114579283453,-0.6730272020296969,-0.6068442914609089
A_iid_gaussian,7,-0.24937005639123944,-0.21535686849900057,-0.22629139152090508,-0.1781495492868134,-0.10260573177712776
A_iid_gaussian,8,-0.11102291035259967,-0.13601494969617597,-0.06417801505724416,-0.07527884894115748,-0.14072372865460173
A_iid_gaussian,9,-0.8394023594599235,-0.8405606438398153,-0.8344166658507691,-0.548386545054846,-0.724661702912264
A_iid_gaussian,10,0.06998624147858082,0.07858444201950278,0.039838522071854524,0.26872470546122434,0.1971384161352785
A_iid_gaussian,11,0.28185833029708945,0.3245586099341627,0.2696622111545352,0.2322388626222231,0.2710736177479616
A_iid_gaussian,12,-0.7306505395681786,-0.7708553607935611,-0.7442028975494873,-0.7494610301117499,-0.7086818589970035
A_iid_gaussian,13,0.3512749915537107,0.3443008706485566,0.38476549201030097,0.18736657726247594,0.39677870926327663
A_iid_gaussian,14,-0.9353232580171686,-0.90944683478399,-0.9960695101515012,-0.7748077928938696,-0.6727228385078551
A_iid_gaussian,15,-0.23115395565055138,-0.29177411382461466,-0.21284815491697592,-0.1927038654347835,-0.13471849396918345
A_iid_gaussian,16,0.29170515205773634,0.3313514929054931,0.2295579806802129,0.540282956046712,0.4140103069126202
A_iid_gaussian,17,-0.7669285147214105,-0.7566579218697488,-0.8309936319053335,-0.3224592099833998,-0.6440716402286712
A_iid_gaussian,18,0.18275719706004614,0.1692540976522709,0.14929503823026494,0.13997488117695014,0.1945987767733618
A_iid_gaussian,19,-0.6210904297089758,-0.5607889982714955,-0.5975370280720038,-0.43012422574437686,-0.5648743830452209
A_iid_gaussian,20,-0.8008629016431703,-0.8253577489550042,-0.7785935712576519,-0.6153642034807552,-0.583731278438571
A_iid_gaussian,21,-0.1385376291810337,-0.14338332148902444,-0.12722967156165604,0.38212749953526953,0.14062202812493915
A_iid_gaussian,22,-0.27403346837420367,-0.2997814913647093,-0.303578110012349,-0.6450499523882801,-0.4148423200292184
A_iid_gaussian,23,-0.3337250816440154,-0.2722615266939055,-0.2704322201998453,-0.12815659622035747,-0.20819282648074303
A_iid_gaussian,24,-0.5593241636854044,-0.5589147835579252,-0.5175627611795195,-0.396568043998208,-0.48484609173213034
A_iid_gaussian,25,-0.3396233598417313,-0.3480422682155894,-0.36151670499945177,-0.21040055482848408,-0.2679304830886256
A_iid_gaussian,26,-0.2346599656611091,-0.17173497575918437,-0.1856523690085204,-0.1816258963189957,-0.14961971300534882
A_iid_gaussian,27,-1.308712063344149,-1.3999349931226026,-1.2890692944032773,-1.5286792332632022,-1.5439849813270636
A_iid_gaussian,28,-0.8601828695582164,-0.7912595783458405,-0.8883172874036888,-0.5209274730999839,-0.6638639621563652
A_iid_gaussian,29,-0.5168820924021561,-0.38996875646808693,-0.4952515067418152,-0.3447526552474905,-0.37449204357870697
A_iid_gaussian,30,-0.03656597125943783,-0.07727395755480296,-0.025144663341295413,-0.1638365366045922,-0.11342304660118055
A_iid_gaussian,31,-1.1199133726829362,-1.123934589942734,-1.1224142018505257,-1.013217154181471,-1.0518457909974173
A_iid_gaussian,32,-0.16827660995165625,-0.18940774097736152,-0.21468113839623443,-0.433867958886888,-0.29693597954036155
A_iid_gaussian,33,-0.6737037271510427,-0.6428393820045779,-0.6325534166995241,-0.44960095175362125,-0.5703069550670429
A_iid_gaussian,34,-0.675572250266588,-0.7375770261232107,-0.7881952678991834,-0.81082237325487,-0.8172975289938514
A_iid_gaussian,35,-0.5822009639398216,-0.5883513777091762,-0.632111339298578,-0.5955535755883945,-0.5006308410085084
A_iid_gaussian,36,-0.8010034640263104,-0.7073570553028814,-0.7680179168891637,-0.7419602494330316,-0.6625773159797432
